"country_name","genres","n"
"Bulgaria","War",3
"Bulgaria","Western",7
"Canada","Action",175
"Canada","Adventure",109
"Canada","Animation",49
"Canada","Biography",13
"Canada","Comedy",177
"Canada","Crime",146
"Canada","Documentary",33
"Canada","Drama",276
"Canada","Family",25
"Canada","Fantasy",40
"Canada","Film-Noir",3
"Canada","Game-Show",8
"Canada","History",4
"Canada","Horror",32
"Canada","Mystery",54
"Canada","Reality-TV",32
"Canada","Romance",85
"Canada","Sci-Fi",32
"Canada","Sport",12
"Canada","Talk-Show",9
"Canada","Thriller",69
"Canada","War",5
"Canada","Western",4
"Chile","Action",133
"Chile","Adult",1
"Chile","Adventure",123
"Chile","Animation",72
"Chile","Biography",3
"Chile","Comedy",197
"Chile","Crime",98
"Chile","Documentary",13
"Chile","Drama",330
"Chile","Family",16
"Chile","Fantasy",31
"Chile","Film-Noir",2
"Chile","History",3
"Chile","Horror",28
"Chile","Music",37
"Chile","Musical",1
"Chile","Mystery",38
"Chile","Reality-TV",2
"Chile","Romance",118
"Chile","Sci-Fi",17
"Chile","Sport",10
"Chile","Talk-Show",9
"Chile","Thriller",55
"Chile","War",3
"Chile","Western",3
"Colombia","Action",146
"Colombia","Adventure",110
"Colombia","Animation",59
"Colombia","Biography",3
"Colombia","Comedy",192
"Colombia","Crime",111
"Colombia","Documentary",32
"Colombia","Drama",287
"Colombia","Family",15
"Colombia","Fantasy",36
"Colombia","Film-Noir",2
"Colombia","Horror",28
"Colombia","Music",19
"Colombia","Musical",5
"Colombia","Mystery",39
"Colombia","Reality-TV",3
"Colombia","Romance",109
"Colombia","Sci-Fi",16
"Colombia","Sport",10
"Colombia","Talk-Show",7
"Colombia","Thriller",68
"Colombia","War",2
"Colombia","Western",3
"Costa Rica","Action",125
"Costa Rica","Adventure",102
"Costa Rica","Animation",60
"Costa Rica","Biography",4
"Costa Rica","Comedy",202
"Costa Rica","Crime",96
"Costa Rica","Documentary",18
"Costa Rica","Drama",322
"Costa Rica","Family",20
"Costa Rica","Fantasy",33
"Costa Rica","Film-Noir",2
"Costa Rica","Game-Show",1
"Costa Rica","Horror",27
"Costa Rica","Music",34
"Costa Rica","Musical",1
"Costa Rica","Mystery",37
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",129
"Costa Rica","Sci-Fi",16
"Costa Rica","Sport",13
"Costa Rica","Talk-Show",7
"Costa Rica","Thriller",63
"Costa Rica","War",2
"Costa Rica","Western",3
"Croatia","Action",172
"Croatia","Adventure",116
"Croatia","Animation",48
"Croatia","Biography",8
"Croatia","Comedy",198
"Croatia","Crime",127
"Croatia","Documentary",27
"Croatia","Drama",289
"Croatia","Family",25
"Croatia","Fantasy",32
"Croatia","Film-Noir",3
"Croatia","Game-Show",11
"Croatia","History",6
"Croatia","Horror",24
"Croatia","Music",3
"Croatia","Mystery",44
"Croatia","Reality-TV",19
"Croatia","Romance",94
"Croatia","Sci-Fi",17
"Croatia","Sport",17
"Croatia","Talk-Show",13
"Croatia","Thriller",60
"Croatia","War",4
"Croatia","Western",10
"Cyprus","Action",209
"Cyprus","Adult",1
"Cyprus","Adventure",136
"Cyprus","Animation",43
"Cyprus","Biography",5
"Cyprus","Comedy",178
"Cyprus","Crime",130
"Cyprus","Documentary",21
"Cyprus","Drama",329
"Cyprus","Family",28
"Cyprus","Fantasy",33
"Cyprus","Film-Noir",2
"Cyprus","Game-Show",8
"Cyprus","History",4
"Cyprus","Horror",21
"Cyprus","Music",2
"Cyprus","Musical",1
"Cyprus","Mystery",48
"Cyprus","Reality-TV",15
"Cyprus","Romance",89
"Cyprus","Sci-Fi",45
"Cyprus","Sport",12
"Cyprus","Talk-Show",11
"Cyprus","Thriller",59
"Cyprus","War",4
"Cyprus","Western",5
"Czech Republic","Action",200
"Czech Republic","Adventure",156
"Czech Republic","Animation",78
"Czech Republic","Biography",12
"Czech Republic","Comedy",191
"Czech Republic","Crime",131
"Czech Republic","Documentary",26
"Czech Republic","Drama",287
"Czech Republic","Family",25
"Czech Republic","Fantasy",53
"Czech Republic","Film-Noir",2
"Czech Republic","Game-Show",12
"Czech Republic","History",5
"Czech Republic","Horror",29
"Czech Republic","Music",2
"Czech Republic","Mystery",52
"Czech Republic","Reality-TV",24
"Czech Republic","Romance",75
"Czech Republic","Sci-Fi",17
"Czech Republic","Sport",15
"Czech Republic","Talk-Show",10
"Czech Republic","Thriller",44
"Czech Republic","War",3
"Czech Republic","Western",6
"Denmark","Action",192
"Denmark","Adventure",132
"Denmark","Animation",53
"Denmark","Biography",12
"Denmark","Comedy",178
"Denmark","Crime",146
"Denmark","Documentary",30
"Denmark","Drama",313
"Denmark","Family",24
"Denmark","Fantasy",45
"Denmark","Film-Noir",2
"Denmark","Game-Show",10
"Denmark","History",8
"Denmark","Horror",23
"Denmark","Music",3
"Denmark","Musical",1
"Denmark","Mystery",50
"Denmark","Reality-TV",28
"Denmark","Romance",89
"Denmark","Sci-Fi",24
"Denmark","Sport",12
"Denmark","Talk-Show",7
"Denmark","Thriller",57
"Denmark","War",10
"Denmark","Western",11
"Dominican Republic","Action",177
"Dominican Republic","Adult",1
"Dominican Republic","Adventure",111
"Dominican Republic","Animation",49
"Dominican Republic","Biography",3
"Dominican Republic","Comedy",155
"Dominican Republic","Crime",124
"Dominican Republic","Documentary",13
"Dominican Republic","Drama",283
"Dominican Republic","Family",20
"Dominican Republic","Fantasy",42
"Dominican Republic","Film-Noir",2
"Dominican Republic","Game-Show",2
"Dominican Republic","History",3
"Dominican Republic","Horror",29
"Dominican Republic","Music",36
"Dominican Republic","Musical",3
"Dominican Republic","Mystery",39
"Dominican Republic","Reality-TV",3
"Dominican Republic","Romance",80
"Dominican Republic","Sci-Fi",20
"Dominican Republic","Sport",9
"Dominican Republic","Talk-Show",5
"Dominican Republic","Thriller",70
"Dominican Republic","War",2
"Dominican Republic","Western",1
"Ecuador","Action",149
"Ecuador","Adult",1
"Ecuador","Adventure",125
"Ecuador","Animation",69
"Ecuador","Biography",1
"Ecuador","Comedy",204
"Ecuador","Crime",87
"Ecuador","Documentary",13
"Ecuador","Drama",275
"Ecuador","Family",16
"Ecuador","Fantasy",33
"Ecuador","Film-Noir",2
"Ecuador","History",1
"Ecuador","Horror",27
"Ecuador","Music",34
"Ecuador","Musical",1
"Ecuador","Mystery",33
"Ecuador","Reality-TV",3
"Ecuador","Romance",101
"Ecuador","Sci-Fi",20
"Ecuador","Sport",9
"Ecuador","Talk-Show",5
"Ecuador","Thriller",62
"Ecuador","War",2
"Ecuador","Western",1
"Egypt","Action",192
"Egypt","Adult",2
"Egypt","Adventure",109
"Egypt","Animation",28
"Egypt","Biography",11
"Egypt","Comedy",154
"Egypt","Crime",116
"Egypt","Documentary",16
"Egypt","Drama",329
"Egypt","Family",18
"Egypt","Fantasy",46
"Egypt","Film-Noir",3
"Egypt","Game-Show",4
"Egypt","History",8
"Egypt","Horror",35
"Egypt","Music",1
"Egypt","Musical",1
"Egypt","Mystery",41
"Egypt","Reality-TV",9
"Egypt","Romance",105
"Egypt","Sci-Fi",27
"Egypt","Sport",6
"Egypt","Talk-Show",12
"Egypt","Thriller",72
"Egypt","War",3
"Egypt","Western",5
"El Salvador","Action",139
"El Salvador","Adventure",108
"El Salvador","Animation",64
"El Salvador","Biography",1
"El Salvador","Comedy",194
"El Salvador","Crime",102
"El Salvador","Documentary",12
"El Salvador","Drama",291
"El Salvador","Family",15
"El Salvador","Fantasy",34
"El Salvador","Film-Noir",2
"El Salvador","History",1
"El Salvador","Horror",24
"El Salvador","Music",33
"El Salvador","Musical",1
"El Salvador","Mystery",34
"El Salvador","Reality-TV",2
"El Salvador","Romance",106
"El Salvador","Sci-Fi",20
"El Salvador","Sport",10
"El Salvador","Talk-Show",5
"El Salvador","Thriller",59
"El Salvador","War",2
"El Salvador","Western",1
"Estonia","Action",188
"Estonia","Adventure",137
"Estonia","Animation",48
"Estonia","Biography",11
"Estonia","Comedy",202
"Estonia","Crime",121
"Estonia","Documentary",23
"Estonia","Drama",266
"Estonia","Family",27
"Estonia","Fantasy",50
"Estonia","Film-Noir",3
"Estonia","Game-Show",8
"Estonia","History",1
"Estonia","Horror",34
"Estonia","Music",3
"Estonia","Mystery",60
"Estonia","Reality-TV",22
"Estonia","Romance",86
"Estonia","Sci-Fi",61
"Estonia","Sport",12
"Estonia","Talk-Show",6
"Estonia","Thriller",56
"Estonia","War",3
"Estonia","Western",6
"Finland","Action",202
"Finland","Adventure",126
"Finland","Animation",52
"Finland","Biography",10
"Finland","Comedy",170
"Finland","Crime",148
"Finland","Documentary",27
"Finland","Drama",329
"Finland","Family",24
"Finland","Fantasy",41
"Finland","Film-Noir",3
"Finland","Game-Show",8
"Finland","History",3
"Finland","Horror",28
"Finland","Music",5
"Finland","Mystery",53
"Finland","Reality-TV",18
"Finland","Romance",79
"Finland","Sci-Fi",31
"Finland","Sport",12
"Finland","Talk-Show",9
"Finland","Thriller",56
"Finland","War",10
"Finland","Western",6
"France","Action",209
"France","Adventure",135
"France","Animation",45
"France","Biography",6
"France","Comedy",152
"France","Crime",161
"France","Documentary",20
"France","Drama",344
"France","Family",18
"France","Fantasy",65
"France","Film-Noir",2
"France","Game-Show",3
"France","History",3
"France","Horror",40
"France","Music",23
"France","Musical",1
"France","Mystery",46
"France","Reality-TV",5
"France","Romance",70
"France","Sci-Fi",49
"France","Sport",12
"France","Talk-Show",9
"France","Thriller",72
"France","War",4
"France","Western",6
"Germany","Action",211
"Germany","Adult",1
"Germany","Adventure",155
"Germany","Animation",45
"Germany","Biography",12
"Germany","Comedy",180
"Germany","Crime",156
"Germany","Documentary",23
"Germany","Drama",310
"Germany","Family",56
"Germany","Fantasy",71
"Germany","Film-Noir",2
"Germany","Game-Show",5
"Germany","History",4
"Germany","Horror",38
"Germany","Music",1
"Germany","Musical",1
"Germany","Mystery",51
"Germany","Reality-TV",11
"Germany","Romance",73
"Germany","Sci-Fi",31
"Germany","Short",1
"Germany","Sport",14
"Germany","Talk-Show",10
"Germany","Thriller",70
"Germany","War",2
"Germany","Western",5
"Greece","Action",195
"Greece","Adventure",132
"Greece","Animation",47
"Greece","Biography",7
"Greece","Comedy",162
"Greece","Crime",150
"Greece","Documentary",22
"Greece","Drama",332
"Greece","Family",22
"Greece","Fantasy",51
"Greece","Film-Noir",2
"Greece","Game-Show",6
"Greece","History",6
"Greece","Horror",27
"Greece","Music",2
"Greece","Mystery",53
"Greece","Reality-TV",7
"Greece","Romance",83
"Greece","Sci-Fi",43
"Greece","Sport",12
"Greece","Talk-Show",9
"Greece","Thriller",53
"Greece","War",5
"Greece","Western",8
"Guadeloupe","Action",217
"Guadeloupe","Adventure",104
"Guadeloupe","Animation",41
"Guadeloupe","Biography",2
"Guadeloupe","Comedy",145
"Guadeloupe","Crime",160
"Guadeloupe","Documentary",16
"Guadeloupe","Drama",339
"Guadeloupe","Family",17
"Guadeloupe","Fantasy",55
"Guadeloupe","Film-Noir",2
"Guadeloupe","Game-Show",5
"Guadeloupe","History",4
"Guadeloupe","Horror",30
"Guadeloupe","Music",30
"Guadeloupe","Musical",2
"Guadeloupe","Mystery",41
"Guadeloupe","Reality-TV",12
"Guadeloupe","Romance",77
"Guadeloupe","Sci-Fi",41
"Guadeloupe","Sport",9
"Guadeloupe","Talk-Show",5
"Guadeloupe","Thriller",69
"Guadeloupe","War",1
"Guadeloupe","Western",4
"Guatemala","Action",124
"Guatemala","Adventure",108
"Guatemala","Animation",63
"Guatemala","Biography",2
"Guatemala","Comedy",207
"Guatemala","Crime",93
"Guatemala","Documentary",13
"Guatemala","Drama",299
"Guatemala","Family",19
"Guatemala","Fantasy",33
"Guatemala","Film-Noir",2
"Guatemala","Horror",23
"Guatemala","Music",35
"Guatemala","Musical",1
"Guatemala","Mystery",37
"Guatemala","Reality-TV",2
"Guatemala","Romance",115
"Guatemala","Sci-Fi",17
"Guatemala","Sport",11
"Guatemala","Talk-Show",6
"Guatemala","Thriller",54
"Guatemala","War",2
"Guatemala","Western",2
"Honduras","Action",134
"Honduras","Adult",1
"Honduras","Adventure",94
"Honduras","Animation",46
"Honduras","Biography",1
"Honduras","Comedy",195
"Honduras","Crime",104
"Honduras","Documentary",13
"Honduras","Drama",309
"Honduras","Family",18
"Honduras","Fantasy",36
"Honduras","Film-Noir",2
"Honduras","History",1
"Honduras","Horror",26
"Honduras","Music",34
"Honduras","Musical",1
"Honduras","Mystery",38
"Honduras","Reality-TV",3
"Honduras","Romance",120
"Honduras","Sci-Fi",18
"Honduras","Sport",9
"Honduras","Talk-Show",5
"Honduras","Thriller",63
"Honduras","War",2
"Honduras","Western",3
"Hong Kong","Action",244
"Hong Kong","Adult",1
"Hong Kong","Adventure",120
"Hong Kong","Animation",27
"Hong Kong","Biography",14
"Hong Kong","Comedy",151
"Hong Kong","Crime",119
"Hong Kong","Documentary",17
"Hong Kong","Drama",340
"Hong Kong","Family",9
"Hong Kong","Fantasy",57
"Hong Kong","Film-Noir",2
"Hong Kong","Game-Show",5
"Hong Kong","History",5
"Hong Kong","Horror",46
"Hong Kong","Music",3
"Hong Kong","Musical",1
"Hong Kong","Mystery",69
"Hong Kong","Reality-TV",8
"Hong Kong","Romance",117
"Hong Kong","Sci-Fi",59
"Hong Kong","Sport",13
"Hong Kong","Talk-Show",7
"Hong Kong","Thriller",80
"Hong Kong","War",4
"Hong Kong","Western",1
"Hungary","Action",196
"Hungary","Adventure",131
"Hungary","Animation",61
"Hungary","Biography",7
"Hungary","Comedy",189
"Hungary","Crime",149
"Hungary","Documentary",24
"Hungary","Drama",304
"Hungary","Family",32
"Hungary","Fantasy",46
"Hungary","Film-Noir",3
"Hungary","Game-Show",7
"Hungary","History",5
"Hungary","Horror",31
"Hungary","Music",3
"Hungary","Musical",1
"Hungary","Mystery",51
"Hungary","Reality-TV",15
"Hungary","Romance",93
"Hungary","Sci-Fi",17
"Hungary","Sport",17
"Hungary","Talk-Show",14
"Hungary","Thriller",53
"Hungary","War",3
"Hungary","Western",7
"Iceland","Action",187
"Iceland","Adventure",127
"Iceland","Animation",48
"Iceland","Biography",12
"Iceland","Comedy",190
"Iceland","Crime",141
"Iceland","Documentary",37
"Iceland","Drama",285
"Iceland","Family",28
"Iceland","Fantasy",32
"Iceland","Film-Noir",4
"Iceland","Game-Show",11
"Iceland","History",5
"Iceland","Horror",29
"Iceland","Music",5
"Iceland","Mystery",48
"Iceland","Reality-TV",37
"Iceland","Romance",85
"Iceland","Sci-Fi",51
"Iceland","Sport",12
"Iceland","Talk-Show",8
"Iceland","Thriller",57
"Iceland","War",5
"Iceland","Western",4
"India","Action",261
"India","Adult",1
"India","Adventure",80
"India","Animation",9
"India","Biography",1
"India","Comedy",172
"India","Crime",216
"India","Documentary",13
"India","Drama",397
"India","Family",12
"India","Fantasy",48
"India","Film-Noir",1
"India","Game-Show",4
"India","Horror",27
"India","Musical",2
"India","Mystery",72
"India","Reality-TV",4
"India","Romance",92
"India","Sci-Fi",18
"India","Sport",4
"India","Talk-Show",7
"India","Thriller",76
"India","War",1
"India","Western",1
"Indonesia","Action",199
"Indonesia","Adventure",88
"Indonesia","Animation",17
"Indonesia","Biography",11
"Indonesia","Comedy",184
"Indonesia","Crime",138
"Indonesia","Documentary",13
"Indonesia","Drama",351
"Indonesia","Family",16
"Indonesia","Fantasy",56
"Indonesia","Film-Noir",2
"Indonesia","History",9
"Indonesia","Horror",43
"Indonesia","Music",2
"Indonesia","Musical",2
"Indonesia","Mystery",72
"Indonesia","Reality-TV",3
"Indonesia","Romance",110
"Indonesia","Sci-Fi",39
"Indonesia","Sport",8
"Indonesia","Talk-Show",5
"Indonesia","Thriller",81
"Indonesia","War",3
"Indonesia","Western",1
"Ireland","Action",144
"Ireland","Adult",1
"Ireland","Adventure",135
"Ireland","Animation",66
"Ireland","Biography",27
"Ireland","Comedy",210
"Ireland","Crime",126
"Ireland","Documentary",33
"Ireland","Drama",275
"Ireland","Family",32
"Ireland","Fantasy",24
"Ireland","Film-Noir",2
"Ireland","Game-Show",5
"Ireland","History",6
"Ireland","Horror",25
"Ireland","Music",3
"Ireland","Musical",2
"Ireland","Mystery",35
"Ireland","Reality-TV",24
"Ireland","Romance",87
"Ireland","Sci-Fi",23
"Ireland","Sport",17
"Ireland","Talk-Show",8
"Ireland","Thriller",60
"Ireland","War",6
"Ireland","Western",5
"Israel","Action",185
"Israel","Adult",3
"Israel","Adventure",125
"Israel","Animation",50
"Israel","Biography",6
"Israel","Comedy",162
"Israel","Crime",126
"Israel","Documentary",26
"Israel","Drama",313
"Israel","Family",19
"Israel","Fantasy",25
"Israel","Film-Noir",2
"Israel","Game-Show",12
"Israel","History",5
"Israel","Horror",18
"Israel","Music",2
"Israel","Musical",1
"Israel","Mystery",37
"Israel","Reality-TV",20
"Israel","Romance",82
"Israel","Sci-Fi",35
"Israel","Sport",16
"Israel","Talk-Show",9
"Israel","Thriller",80
"Israel","War",5
"Israel","Western",8
"Italy","Action",172
"Italy","Adventure",86
"Italy","Animation",22
"Italy","Biography",10
"Italy","Comedy",168
"Italy","Crime",149
"Italy","Documentary",17
"Italy","Drama",362
"Italy","Family",22
"Italy","Fantasy",45
"Italy","Film-Noir",2
"Italy","Game-Show",6
"Italy","History",2
"Italy","Horror",34
"Italy","Music",6
"Italy","Mystery",68
"Italy","Reality-TV",7
"Italy","Romance",86
"Italy","Sci-Fi",38
"Italy","Sport",16
"Italy","Talk-Show",11
"Italy","Thriller",54
"Italy","War",3
"Italy","Western",7
"Jamaica","Action",217
"Jamaica","Adult",2
"Jamaica","Adventure",125
"Jamaica","Animation",81
"Jamaica","Biography",4
"Jamaica","Comedy",183
"Jamaica","Crime",146
"Jamaica","Documentary",12
"Jamaica","Drama",286
"Jamaica","Family",35
"Jamaica","Fantasy",50
"Jamaica","Film-Noir",3
"Jamaica","Game-Show",4
"Jamaica","History",2
"Jamaica","Horror",28
"Jamaica","Music",7
"Jamaica","Mystery",37
"Jamaica","Reality-TV",13
"Jamaica","Romance",80
"Jamaica","Sci-Fi",23
"Jamaica","Sport",10
"Jamaica","Talk-Show",6
"Jamaica","Thriller",85
"Jamaica","War",2
"Jamaica","Western",3
"Japan","Action",219
"Japan","Adventure",156
"Japan","Animation",92
"Japan","Biography",5
"Japan","Comedy",158
"Japan","Crime",98
"Japan","Documentary",7
"Japan","Drama",275
"Japan","Family",15
"Japan","Fantasy",38
"Japan","Film-Noir",1
"Japan","History",6
"Japan","Horror",38
"Japan","Music",4
"Japan","Musical",1
"Japan","Mystery",41
"Japan","Romance",169
"Japan","Sci-Fi",34
"Japan","Sport",5
"Japan","Talk-Show",1
"Japan","Thriller",66
"Japan","War",3
"Japan","Western",2
"Jordan","Action",204
"Jordan","Adult",2
"Jordan","Adventure",102
"Jordan","Animation",26
"Jordan","Biography",13
"Jordan","Comedy",144
"Jordan","Crime",131
"Jordan","Documentary",13
"Jordan","Drama",367
"Jordan","Family",17
"Jordan","Fantasy",42
"Jordan","Film-Noir",3
"Jordan","Game-Show",5
"Jordan","History",5
"Jordan","Horror",31
"Jordan","Musical",1
"Jordan","Mystery",37
"Jordan","Reality-TV",9
"Jordan","Romance",167
"Jordan","Sci-Fi",26
"Jordan","Sport",8
"Jordan","Talk-Show",9
"Jordan","Thriller",70
"Jordan","War",3
"Jordan","Western",7
"Kenya","Action",207
"Kenya","Adult",4
"Kenya","Adventure",95
"Kenya","Animation",23
"Kenya","Biography",11
"Kenya","Comedy",177
"Kenya","Crime",144
"Kenya","Documentary",17
"Kenya","Drama",332
"Kenya","Family",15
"Kenya","Fantasy",35
"Kenya","Film-Noir",4
"Kenya","Game-Show",10
"Kenya","History",6
"Kenya","Horror",20
"Kenya","Music",1
"Kenya","Musical",2
"Kenya","Mystery",52
"Kenya","Reality-TV",25
"Kenya","Romance",93
"Kenya","Sci-Fi",35
"Kenya","Sport",12
"Kenya","Talk-Show",8
"Kenya","Thriller",81
"Kenya","War",2
"Kenya","Western",6
"Kuwait","Action",221
"Kuwait","Adult",1
"Kuwait","Adventure",135
"Kuwait","Animation",48
"Kuwait","Biography",11
"Kuwait","Comedy",151
"Kuwait","Crime",131
"Kuwait","Documentary",15
"Kuwait","Drama",317
"Kuwait","Family",32
"Kuwait","Fantasy",51
"Kuwait","Film-Noir",3
"Kuwait","Game-Show",7
"Kuwait","History",7
"Kuwait","Horror",40
"Kuwait","Music",1
"Kuwait","Musical",1
"Kuwait","Mystery",48
"Kuwait","Reality-TV",12
"Kuwait","Romance",77
"Kuwait","Sci-Fi",26
"Kuwait","Sport",7
"Kuwait","Talk-Show",10
"Kuwait","Thriller",86
"Kuwait","War",3
"Kuwait","Western",5
"Latvia","Action",171
"Latvia","Adventure",146
"Latvia","Animation",80
"Latvia","Biography",6
"Latvia","Comedy",239
"Latvia","Crime",118
"Latvia","Documentary",21
"Latvia","Drama",268
"Latvia","Family",26
"Latvia","Fantasy",37
"Latvia","Film-Noir",2
"Latvia","Game-Show",8
"Latvia","History",2
"Latvia","Horror",27
"Latvia","Music",2
"Latvia","Mystery",60
"Latvia","Reality-TV",18
"Latvia","Romance",96
"Latvia","Sci-Fi",53
"Latvia","Sport",13
"Latvia","Talk-Show",9
"Latvia","Thriller",52
"Latvia","War",2
"Latvia","Western",4
"Lebanon","Action",199
"Lebanon","Adult",3
"Lebanon","Adventure",107
"Lebanon","Animation",20
"Lebanon","Biography",11
"Lebanon","Comedy",163
